N,Algorithm,P(True) mean,P(True) std,Runs,Time(s) mean,Time(s) std
1000,Gibbs,0.5353666666666667,0.25080731487618596,30,2.4886166666666667,0.03143026307210311
1000,Likelihood,0.49746666666666667,0.015721133005877987,30,3.27064,0.019571471144464905
1000,Rejection,0.48806,0.06516283370566173,30,3.2671366666666666,0.019172348683011826
5000,Gibbs,0.47723333333333334,0.09503101611047052,30,12.461546666666667,0.1086899980594395
5000,Likelihood,0.49784,0.007367477460972039,30,16.359013333333333,0.10226659121218869
5000,Rejection,0.4867266666666667,0.029620611804589057,30,16.344820000000002,0.07827651869692634
10000,Gibbs,0.51613,0.09438207438659758,30,24.92236666666667,0.12926348747965316
10000,Likelihood,0.49941,0.004996781722889936,30,32.68902666666666,0.10522618637416739
10000,Rejection,0.5058866666666667,0.01951824492769448,30,32.66113,0.1225456006610591
20000,Gibbs,0.5086166666666666,0.05342770225094929,30,49.86369,0.19149459225280835
20000,Likelihood,0.49918333333333337,0.004518321578313947,30,65.42953666666666,0.2985215968428557
20000,Rejection,0.50078,0.016221662825604097,30,65.32623,0.2542320581944611
