Burn-in,P(True) mean,P(True) std,Runs,Time(s) mean,Time(s) std
0,0.32647333333333334,0.06022181374364867,30,23.964476666666666,0.20861638392915896
250,0.30391999999999997,0.07000023842323927,30,24.529123333333335,0.24167531037257017
500,0.31828333333333336,0.08064254495904295,30,25.117923333333334,0.238514265724344
1000,0.30182333333333333,0.07710442396777438,30,26.30622333333333,0.21795231316985858
1500,0.3245533333333333,0.06891124092945053,30,27.511323333333333,0.2714165645382515
2000,0.3062166666666667,0.06763508109999054,30,28.701666666666664,0.2679531216505972
2500,0.3061433333333333,0.06629431079420135,30,29.94568,0.3026365789136397
3000,0.30627333333333334,0.06186031502274011,30,31.134166666666665,0.27394619196469
5000,0.31776666666666664,0.08602943094375172,30,35.949886666666664,0.3000085685366383
